date; machine; nvilles; graine; nthreads; longueur; temps; coupures
Thu Dec 19 15:33:31 2013;ensisun.imag.fr;15;12387;1;328;196.200000;2939486
Thu Dec 19 15:33:32 2013;ensisun.imag.fr;16;12387;1;343;443.279000;7011570
Thu Dec 19 15:33:32 2013;ensisun.imag.fr;17;12387;1;353;1757.689000;30185190
Thu Dec 19 15:33:34 2013;ensisun.imag.fr;18;12387;1;356;9998.583000;171233238
Thu Dec 19 15:33:44 2013;ensisun.imag.fr;15;12388;1;286;5936.730000;86610798
Thu Dec 19 15:33:50 2013;ensisun.imag.fr;16;12388;1;319;25513.496000;380068361
Thu Dec 19 15:34:15 2013;ensisun.imag.fr;17;12388;1;322;51414.684000;778027534
Thu Dec 19 15:35:07 2013;ensisun.imag.fr;18;12388;1;332;107448.77000;1674660894
Thu Dec 19 15:36:54 2013;ensisun.imag.fr;15;12387;2;328;228.832000;2939486
Thu Dec 19 15:36:54 2013;ensisun.imag.fr;16;12387;2;343;488.338000;7011570
Thu Dec 19 15:36:55 2013;ensisun.imag.fr;17;12387;2;353;2401.665000;30186565
Thu Dec 19 15:36:57 2013;ensisun.imag.fr;18;12387;2;356;12122.147000;171237433
Thu Dec 19 15:37:09 2013;ensisun.imag.fr;15;12388;2;286;6489.644000;86912410
Thu Dec 19 15:37:16 2013;ensisun.imag.fr;16;12388;2;319;28635.662000;381059771
Thu Dec 19 15:37:45 2013;ensisun.imag.fr;17;12388;2;322;59267.760000;779126872
Thu Dec 19 15:38:44 2013;ensisun.imag.fr;18;12388;2;332;137837.141000;1679911571
Thu Dec 19 15:41:02 2013;ensisun.imag.fr;15;12387;4;328;248.510000;2939486
Thu Dec 19 15:41:02 2013;ensisun.imag.fr;16;12387;4;343;412.49000;7011570
Thu Dec 19 15:41:02 2013;ensisun.imag.fr;17;12387;4;353;2201.592000;30196567
Thu Dec 19 15:41:05 2013;ensisun.imag.fr;18;12387;4;356;12525.72000;171248098
Thu Dec 19 15:41:17 2013;ensisun.imag.fr;15;12388;4;286;6269.231000;86711528
Thu Dec 19 15:41:23 2013;ensisun.imag.fr;16;12388;4;319;27593.350000;380473209
Thu Dec 19 15:41:51 2013;ensisun.imag.fr;17;12388;4;322;32397.988000;778253644
Thu Dec 19 15:42:23 2013;ensisun.imag.fr;18;12388;4;332;123026.129000;1678761992
Thu Dec 19 15:44:26 2013;ensisun.imag.fr;15;12387;8;328;137.502000;2939486
Thu Dec 19 15:44:27 2013;ensisun.imag.fr;16;12387;8;343;537.570000;7011570
Thu Dec 19 15:44:27 2013;ensisun.imag.fr;17;12387;8;353;1437.217000;30231838
Thu Dec 19 15:44:28 2013;ensisun.imag.fr;18;12387;8;356;13940.787000;171308417
Thu Dec 19 15:44:42 2013;ensisun.imag.fr;15;12388;8;286;5527.478000;87528828
Thu Dec 19 15:44:48 2013;ensisun.imag.fr;16;12388;8;319;20837.810000;381355237
Thu Dec 19 15:45:09 2013;ensisun.imag.fr;17;12388;8;322;34194.366000;780825374
Thu Dec 19 15:45:43 2013;ensisun.imag.fr;18;12388;8;332;134626.388000;1688101959
Thu Dec 19 15:47:58 2013;ensisun.imag.fr;15;12387;16;328;117.53000;2939486
Thu Dec 19 15:47:58 2013;ensisun.imag.fr;16;12387;16;343;256.37000;7011570
Thu Dec 19 15:47:58 2013;ensisun.imag.fr;17;12387;16;353;1272.344000;30240610
Thu Dec 19 15:47:59 2013;ensisun.imag.fr;18;12387;16;356;6345.681000;171796491
Thu Dec 19 15:48:06 2013;ensisun.imag.fr;15;12388;16;286;3166.310000;87586527
Thu Dec 19 15:48:09 2013;ensisun.imag.fr;16;12388;16;319;14321.417000;384643253
Thu Dec 19 15:48:23 2013;ensisun.imag.fr;17;12388;16;322;27253.90000;783522500
Thu Dec 19 15:48:50 2013;ensisun.imag.fr;18;12388;16;332;80387.116000;1728117724
Thu Dec 19 15:50:11 2013;ensisun.imag.fr;15;12387;32;328;123.805000;2939486
Thu Dec 19 15:50:11 2013;ensisun.imag.fr;16;12387;32;343;267.972000;7011570
Thu Dec 19 15:50:11 2013;ensisun.imag.fr;17;12387;32;353;1050.640000;30250941
Thu Dec 19 15:50:12 2013;ensisun.imag.fr;18;12387;32;356;5841.361000;171322683
Thu Dec 19 15:50:18 2013;ensisun.imag.fr;15;12388;32;286;2062.276000;88160925
Thu Dec 19 15:50:20 2013;ensisun.imag.fr;16;12388;32;319;9247.623000;387355048
Thu Dec 19 15:50:29 2013;ensisun.imag.fr;17;12388;32;322;24647.845000;796390523
Thu Dec 19 15:50:54 2013;ensisun.imag.fr;18;12388;32;332;47233.483000;1840497764
Thu Dec 19 15:51:41 2013;ensisun.imag.fr;15;12387;64;328;93.604000;2939486
Thu Dec 19 15:51:41 2013;ensisun.imag.fr;16;12387;64;343;245.749000;7011570
Thu Dec 19 15:51:42 2013;ensisun.imag.fr;17;12387;64;353;604.331000;30261915
Thu Dec 19 15:51:42 2013;ensisun.imag.fr;18;12387;64;356;5093.334000;171735986
Thu Dec 19 15:51:47 2013;ensisun.imag.fr;15;12388;64;286;1899.971000;89672070
Thu Dec 19 15:51:49 2013;ensisun.imag.fr;16;12388;64;319;8515.593000;395787982
Thu Dec 19 15:51:58 2013;ensisun.imag.fr;17;12388;64;322;13293.949000;790763918
Thu Dec 19 15:52:11 2013;ensisun.imag.fr;18;12388;64;332;34117.117000;1707881730
